DATAFLOW,LAST UPDATE,freq,unit,c_resid,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EA,2014,630278136,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EA,2015,656797555,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EA,2016,681956382,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EA,2017,715767882,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EA,2018,742341076,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EA,2019,764413954,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EA,2020,379407271,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EA,2021,479421016,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EE,2012,2748237,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EE,2013,2890370,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EE,2014,2976017,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EE,2015,2962591,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EE,2016,3169657,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EE,2017,3361008,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EE,2018,3384652,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EE,2019,3558224,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EE,2020,1925647,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EE,2021,2091422,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EL,2012,16619484,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EL,2013,18267999,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EL,2014,20318324,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EL,2015,21362121,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EL,2016,22351337,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EL,2017,24087880,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EL,2018,29335992,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EL,2019,29519844,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EL,2020,9663598,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EL,2021,16693739,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,ES,2012,92593053,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,ES,2013,93497270,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,ES,2014,98587889,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,ES,2015,104297767,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,ES,2016,112346058,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,ES,2017,116480214,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,ES,2018,117267069,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,ES,2019,119954519,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,ES,2020,42907995,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,ES,2021,76911740,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2007,2012,1325839517,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2007,2013,1272363574,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2007,2014,821482603,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2007,2015,866902607,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2007,2016,899211869,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2007,2017,946972979,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2007,2018,981218790,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2007,2019,1014725539,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2020,2012,1155862102,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2020,2013,1176108403,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2020,2014,733584797,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,EU27_2020,2015,768792951,
